marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Renault;Megane;13990;2021;118220;Diesel;11521;18230
Renault;Clio;13990;2019;48497;essence;14021;13120
Renault;Zoe;7990;2022;85964;Diesel;2017;Super affaire
Dacia;Spring;9990;2019;119275;Diesel;;76360
Renault;Megane;13990;2021;118220;Diesel;11521;18230
Renault;Clio;13990;2019;48497;essence;14021;13120
Renault;Zoe;7990;2022;85964;Diesel;2017;Super affaire
Dacia;Spring;9990;2019;119275;Diesel;;76360
Renault;Arkana;26490;2023;25976;essence;16022;08200
Mercedes-Benz;Classe A;18290;2020;96509;Diesel;1801167;37000
Volkswagen;Golf;28790;2017;107678;Diesel;151507;75015
Mercedes-Benz;CLA;16990;2020;142546;Diesel;2501601028;75020
Volkswagen;Tiguan;29900;2017;86876;Diesel;2019047;75015
Mercedes-Benz;GLC Coupé;24980;2018;111842;Diesel;2504;67210
Volkswagen;Polo;14790;2022;25023;essence;10957;95700
Renault;Clio;11990;2022;76782;hybride;145;13008
Volkswagen;e-Golf;19990;2021;26500;essence;136;Super affaire
Mercedes-Benz;Classe C;19990;2017;51531;essence;2009;89100
Peugeot;3008;9990;2017;68075;essence;161206;26000
Mercedes-Benz;Classe A;12499;2019;60125;essence;1801367;57740
Volkswagen;Tiguan;29489;2019;123549;Diesel;2015076;54520
Mercedes-Benz;GLA;16990;2019;71180;essence;18012276;36000
Peugeot;5008;24890;2021;146889;Diesel;1308;31200
Renault;Captur;23890;2019;84018;Diesel;90;06150
Peugeot;3008;21900;2018;92488;Diesel;1308;89000
Volkswagen;Golf GTE;21490;2020;65432;essence;142046658;75013
Toyota;C-HR;20990;2021;29011;hybride;185;24000
Renault;Arkana;19790;2021;46780;essence;14022;21000
Peugeot;208;15690;2023;37188;hybride;1308;04130
Renault;Captur;16690;2021;75451;Diesel;115;94260
Mercedes-Benz;Classe A;30990;2022;69247;Diesel;200;54520
Renault;Megane;13990;2022;63802;hybride;12130;44190
Volkswagen;Tiguan Allspace;25990;2022;128261;essence;201507;67210
Renault;Arkana;14999;2023;59305;hybride;14523;69400
Peugeot;2008;8990;2024;20183;essence;1308;59300
Dacia;Spring;17990;2019;144733;Diesel;;Super affaire
Audi;Q2;16499;2021;108352;hybride;351507;13008
Peugeot;3008;25989;2017;136959;Diesel;1308;78180
Peugeot;3008;23800;2023;16763;hybride;2258;64130
Peugeot;3008;26190;2025;4991;essence;201806;34970
Peugeot;308;30450;2019;96286;essence;1308;92240
Audi;A3;16690;2019;99820;essence;402046;44400
Mercedes-Benz;Classe C;10990;2022;79091;Diesel;2209;13300
Hyundai;Tucson;13990;2021;37272;essence;1714127;34420
Volkswagen;Tiguan;22890;2018;136500;Diesel;2201507;62120
Volkswagen;Tiguan;26990;2021;63207;Diesel;201507;73490
Volkswagen;Golf;19990;2022;25376;essence;151507;75015
Volkswagen;Golf GTI;32490;2017;71066;essence;202306;67100
Renault;Clio;29990;2025;7500;hybride;14525;64000
Volkswagen;Tiguan;14490;2019;141932;Diesel;2015074;73490
Mercedes-Benz;Classe A;14470;2021;82000;essence;25016010288;37170
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;18490;2022;120760;essence;1614521;85300
Audi;A3;29590;2022;61365;essence;402046;33370
Renault;Captur;21900;2019;114000;Diesel;16021;71000
Renault;Arkana;24990;2024;9361;hybride;16022;21200
Toyota;Yaris Cross;19900;2021;100647;Diesel;1162;24100
Peugeot;2008;24890;2018;80290;essence;1558;83160
Renault;Arkana;10350;2023;28580;essence;14022;31600
Dacia;Spring;28990;2024;14506;Diesel;;Bonne affaire
