marque,modele,prix,annee,kilometrage,energie,nombre chevaux,code postal,latitude,longitude,ville,région
Renault,Captur,24380,2023,19408,Diesel,145,78700.0,49.000025,2.099679,Conflans-Sainte-Honorine,Île-de-France
Renault,Captur,28880,2021,78630,essence,145,84300.0,43.849364,5.032096,Cavaillon,Provence-Alpes-Côte d'Azur
Renault,Megane,19990,2022,2639,Diesel,115,83400.0,43.116731,6.20255,Hyères,Provence-Alpes-Côte d'Azur
Renault,Clio,20990,2024,15967,essence,145,32000.0,43.656961,0.57082,Auch,Occitanie
Peugeot,e-2008,22990,2022,64594,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Mercedes-Benz,GLA,45990,2020,46258,essence,250,57070.0,49.136824,6.204782,Saint-Julien-lès-Metz,Grand Est
Renault,Captur,27990,2024,9000,essence,145,69140.0,45.818387,4.892817,Rillieux-la-Pape,Auvergne-Rhône-Alpes
Peugeot,e-2008,47990,2024,27810,essence,136,76000.0,49.440044,1.093912,Rouen,Normandie
Peugeot,e-2008,27990,2019,13196,essence,136,83600.0,43.539399,6.690304,Bagnols-en-Forêt,Provence-Alpes-Côte d'Azur
Renault,Clio,27990,2020,129006,essence,145,63210.0,45.717155,2.902465,Nébouzat,Auvergne-Rhône-Alpes
Peugeot,e-2008,22490,2022,29332,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Captur,20489,2022,29578,essence,160,19200.0,45.553678,2.302814,Ussel,Auvergne-Rhône-Alpes
Renault,Captur,26700,2021,83415,essence,145,52000.0,48.104307,5.129976,Chaumont,Île-de-France
Renault,Captur,12990,2021,81524,essence,160,72000.0,47.993378,0.191169,Le Mans,Pays de la Loire
Renault,Clio,14790,2021,47399,Diesel,130,65100.0,43.104761,-0.046139,Lourdes,Occitanie
Renault,Arkana,32990,2024,8990,essence,145,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Peugeot,e-2008,22490,2021,17500,essence,136,66000.0,42.701392,2.902878,Perpignan,Occitanie
Renault,Captur,16990,2024,16389,essence,145,33210.0,44.535691,-0.241774,Langon,Bretagne
Peugeot,2008,31990,2020,147047,Diesel,145,67700.0,48.739971,7.369851,Saverne,Grand Est
Renault,Captur,22490,2017,115194,essence,160,10200.0,48.232115,4.707135,Bar-sur-Aube,Grand Est
Renault,Clio,25490,2020,116503,Diesel,140,72000.0,47.993378,0.191169,Le Mans,Pays de la Loire
Renault,Megane,21500,2024,10601,essence,115,64500.0,43.391942,-1.633128,Saint-Jean-de-Luz,Nouvelle-Aquitaine
Renault,Clio,20690,2021,40071,essence,90,71000.0,46.325859,4.810979,Mâcon,Bourgogne-Franche-Comté
Renault,Clio,17980,2022,19456,essence,145,78630.0,48.926202,1.978094,Orgeval,Hauts-de-France
Renault,Arkana,12290,2023,36139,essence,145,91170.0,48.666246,2.374662,Viry-Châtillon,Île-de-France
Renault,Arkana,51900,2025,10,Diesel,145,47300.0,44.416152,0.747052,Villeneuve-sur-Lot,Nouvelle-Aquitaine
Renault,Megane E Tech,18990,2022,36809,hybride,160,42000.0,45.430195,4.370045,Saint-Étienne,Auvergne-Rhône-Alpes
Renault,Captur,20990,2023,30189,essence,160,41250.0,47.553345,1.449717,Mont-près-Chambord,Centre-Val de Loire
Toyota,C-HR,20990,2021,29011,hybride,185,24000.0,45.19334,0.711299,Périgueux,Nouvelle-Aquitaine
Renault,Captur,25000,2023,21792,essence,160,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Renault,Clio,25999,2019,82017,essence,145,6800.0,,,,
Citroën,C3,19830,2023,9800,essence,113,22100.0,48.446574,-2.053922,Dinan,Bretagne
Peugeot,e-2008,31990,2024,9132,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Clio,17490,2024,22755,essence,140,76000.0,49.440044,1.093912,Rouen,Normandie
Peugeot,e-2008,16290,2024,11393,hybride,136,17430.0,45.962309,-0.878113,Tonnay-Charente,Nouvelle-Aquitaine
Renault,Captur,21990,2023,25994,essence,140,69140.0,45.818387,4.892817,Rillieux-la-Pape,Auvergne-Rhône-Alpes
Renault,Arkana,21480,2023,16950,essence,145,89100.0,48.191828,3.292827,Sens,Bourgogne-Franche-Comté
Renault,Captur,20390,2023,54444,essence,160,52200.0,47.860319,5.337775,Langres,Grand Est
Renault,Arkana,23890,2022,27101,essence,145,94170.0,48.8435,2.504424,Le Perreux-sur-Marne,Île-de-France
Renault,Captur,19999,2024,6829,essence,140,13008.0,43.247182,5.374045,Marseille 8e Arrondissement,
Renault,Clio,43790,2023,18001,essence,145,47000.0,44.202304,0.631041,Agen,Nouvelle-Aquitaine
Renault,Captur,29874,2020,50556,essence,140,69140.0,45.818387,4.892817,Rillieux-la-Pape,Auvergne-Rhône-Alpes
Renault,Clio,14980,2024,4101,essence,145,4100.0,,,,
Citroën,C3,36900,2023,37092,Diesel,113,61000.0,48.429859,0.092935,Alençon,Normandie
Renault,Clio,15490,2021,41672,essence,130,78190.0,48.778249,1.993009,Trappes,Île-de-France
Renault,Clio,20890,2024,4500,hybride,140,7200.0,,,,
Peugeot,e-2008,19790,2021,95785,essence,136,,47.505522,0.820921,Monnaie,Centre-Val de Loire
Renault,Captur,20499,2022,20662,essence,120,34420.0,43.324569,3.280901,Villeneuve-lès-Béziers,Occitanie
Peugeot,e-2008,18990,2020,90269,essence,136,83600.0,43.539399,6.690304,Bagnols-en-Forêt,Provence-Alpes-Côte d'Azur
Peugeot,e-2008,26990,2021,90091,Diesel,136,34000.0,43.610476,3.87048,Montpellier,Occitanie
Renault,Captur,60990,2024,6913,essence,160,92140.0,48.796102,2.25475,Clamart,Île-de-France
Renault,Megane,23950,2024,32667,Diesel,115,33520.0,44.881405,-0.60324,Bruges,Nouvelle-Aquitaine
Renault,Captur,30490,2021,38785,essence,160,83160.0,43.143841,5.990889,La Valette-du-Var,Provence-Alpes-Côte d'Azur
Peugeot,e-2008,16990,2022,64140,essence,136,8000.0,,,,
Nissan,Qashqai,28190,2023,25662,essence,190,77210.0,48.412892,2.728822,Avon,Île-de-France
Renault,Arkana,18299,2020,71839,Diesel,140,41250.0,47.553345,1.449717,Mont-près-Chambord,Centre-Val de Loire
Renault,Captur,25989,2025,7500,essence,145,72000.0,47.993378,0.191169,Le Mans,Pays de la Loire
Renault,Clio,21990,2022,29954,essence,90,77600.0,48.839173,2.715779,Bussy-Saint-Georges,Île-de-France
Renault,Captur,24890,2021,34276,essence,145,33140.0,44.77508,-0.55453,Villenave-d'Ornon,Nouvelle-Aquitaine
Renault,Captur,37790,2023,62847,essence,145,65100.0,43.104761,-0.046139,Lourdes,Occitanie
Renault,Captur,16690,2023,15000,hybride,145,13120.0,43.457301,5.48627,Gardanne,Provence-Alpes-Côte d'Azur
Renault,Captur,23490,2020,49333,essence,145,50110.0,49.632965,-1.529136,Digosville,Normandie
Renault,Captur,28590,2024,4803,essence,145,76600.0,49.507345,0.129995,Le Havre,Normandie
Renault,Captur,18390,2023,20450,essence,145,78190.0,48.778249,1.993009,Trappes,Île-de-France
Renault,Arkana,24390,2024,17530,essence,145,6150.0,,,,
Renault,Arkana,24990,2022,59615,essence,145,44210.0,47.123874,-2.054329,Pornic,Pays de la Loire
Renault,Captur,23990,2023,21670,essence,145,41000.0,47.581246,1.316402,Blois,Centre-Val de Loire
Mercedes-Benz,GLA,35398,2024,10562,essence,250,74100.0,46.189327,6.243054,Annemasse,Auvergne-Rhône-Alpes
Peugeot,2008,30900,2024,9503,essence,130,67700.0,48.739971,7.369851,Saverne,Grand Est
Renault,Clio,23790,2022,23164,essence,145,64200.0,43.47144,-1.555081,Biarritz,Nouvelle-Aquitaine
Renault,Captur,23000,2023,25947,essence,145,21400.0,47.863953,4.584361,Châtillon-sur-Seine,Bourgogne-Franche-Comté
Renault,Captur,16990,2023,46831,essence,140,78700.0,49.000025,2.099679,Conflans-Sainte-Honorine,Île-de-France
Renault,Megane,24990,2024,17142,Diesel,115,26200.0,44.553424,4.745639,Montélimar,Auvergne-Rhône-Alpes
Nissan,Qashqai,29900,2024,21920,essence,190,77210.0,48.412892,2.728822,Avon,Île-de-France
Renault,Captur,27500,2024,14036,Diesel,160,49000.0,47.467471,-0.561615,Angers,Pays de la Loire
Renault,Captur,11990,2025,9900,essence,160,59230.0,50.436464,3.431727,Saint-Amand-les-Eaux,Hauts-de-France
Renault,Clio,19490,2024,4820,Diesel,145,64100.0,43.488544,-1.466564,Bayonne,Nouvelle-Aquitaine
Renault,Megane,24490,2022,64215,Diesel,140,71400.0,46.938842,4.304399,Autun,Bourgogne-Franche-Comté
Renault,Captur,16490,2022,25990,Diesel,145,47300.0,44.416152,0.747052,Villeneuve-sur-Lot,Nouvelle-Aquitaine
Renault,Clio,21490,2024,9500,essence,145,14000.0,49.184316,-0.37193,Caen,Normandie
Renault,Arkana,20890,2024,5334,hybride,145,83300.0,43.531436,6.460296,Draguignan,Provence-Alpes-Côte d'Azur
Renault,Megane,31270,2024,17090,essence,115,10200.0,48.232115,4.707135,Bar-sur-Aube,Grand Est
